,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,looser,win_by_runs,win_by_wickets,palyer_of_match,venue,umpire1,umpire2
54,55,2017,Delhi,5/14/2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Delhi Capitals,10,0,HV Patel,Feroz Shah Kotla,CK Nandan,C Shamshuddin
55,56,2017,Mumbai,5/16/2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,Mumbai Indians,20,0,Washington Sundar,Wankhede Stadium,S Ravi,C Shamshuddin
56,57,2017,Bangalore,5/17/2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,Sunrisers Hyderabad,0,7,NM Coulter-Nile,M Chinnaswamy Stadium,Anil Chaudhary,Nitin Menon
57,58,2017,Bangalore,5/19/2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Kolkata Knight Riders,0,6,KV Sharma,M Chinnaswamy Stadium,Nigel Llong,Nitin Menon
58,59,2017,Hyderabad,5/21/2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,Rising Pune Supergiant,1,0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",Nigel Llong,S Ravi
59,60,2008,Bangalore,4/18/2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen
60,61,2008,Chandigarh,4/19/2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Kings XI Punjab,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri
61,62,2008,Delhi,4/19/2008,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,0,Delhi Capitals,Rajasthan Royals,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar
62,63,2008,Mumbai,4/20/2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,Mumbai Indians,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper
63,64,2008,Kolkata,4/20/2008,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,Deccan Chargers,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan
64,65,2008,Jaipur,4/21/2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,Kings XI Punjab,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin
65,66,2008,Hyderabad,4/22/2008,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,normal,0,Delhi Capitals,Deccan Chargers,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba
66,67,2008,Chennai,4/23/2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,Mumbai Indians,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar
67,68,2008,Hyderabad,4/24/2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Deccan Chargers,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson
68,69,2008,Chandigarh,4/25/2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,Mumbai Indians,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba
69,70,2008,Bangalore,4/26/2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell
70,71,2008,Chennai,4/26/2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,Kolkata Knight Riders,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash
71,72,2008,Mumbai,4/27/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,Mumbai Indians,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri
72,73,2008,Chandigarh,4/27/2008,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,normal,0,Kings XI Punjab,Delhi Capitals,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram
